,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,First Name,Middle Name,Last Name,Title
69,70,0,3,"Kink, Mr. Vincenz",0,26.0,2,0,315151,8.6625,S,Vincenz,,Kink, Mr
70,71,0,2,"Jenkin, Mr. Stephen Curnow",0,32.0,0,0,C.A. 33111,10.5,S,Stephen,Curnow,Jenkin, Mr
71,72,0,3,"Goodwin, Miss. Lillian Amy",1,16.0,5,2,CA 2144,46.9,S,Lillian,Amy,Goodwin, Miss
72,73,0,2,"Hood, Mr. Ambrose Jr",0,21.0,0,0,S.O.C. 14879,73.5,S,Ambrose,Jr,Hood, Mr
73,74,0,3,"Chronopoulos, Mr. Apostolos",0,26.0,1,0,2680,14.4542,C,Apostolos,,Chronopoulos, Mr
74,75,1,3,"Bing, Mr. Lee",0,32.0,0,0,1601,56.4958,S,Lee,,Bing, Mr
75,76,0,3,"Moen, Mr. Sigurd Hansen",0,25.0,0,0,348123,7.65,S,Sigurd,Hansen,Moen, Mr
76,77,0,3,"Staneff, Mr. Ivan",0,,0,0,349208,7.8958,S,Ivan,,Staneff, Mr
77,78,0,3,"Moutal, Mr. Rahamin Haim",0,,0,0,374746,8.05,S,Rahamin,Haim,Moutal, Mr
78,79,1,2,"Caldwell, Master. Alden Gates",0,0.83,0,2,248738,29.0,S,Alden,Gates,Caldwell, Master
79,80,1,3,"Dowdell, Miss. Elizabeth",1,30.0,0,0,364516,12.475,S,Elizabeth,,Dowdell, Miss
80,81,0,3,"Waelens, Mr. Achille",0,22.0,0,0,345767,9.0,S,Achille,,Waelens, Mr
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",0,29.0,0,0,345779,9.5,S,Jan,Baptist,Sheerlinck, Mr
82,83,1,3,"McDermott, Miss. Brigdet Delia",1,,0,0,330932,7.7875,Q,Brigdet,Delia,McDermott, Miss
83,84,0,1,"Carrau, Mr. Francisco M",0,28.0,0,0,113059,47.1,S,Francisco,M,Carrau, Mr
84,85,1,2,"Ilett, Miss. Bertha",1,17.0,0,0,SO/C 14885,10.5,S,Bertha,,Ilett, Miss
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,33.0,3,0,3101278,15.85,S,Karl,Alfred,Backstrom, Mrs
86,87,0,3,"Ford, Mr. William Neal",0,16.0,1,3,W./C. 6608,34.375,S,William,Neal,Ford, Mr
87,88,0,3,"Slocovski, Mr. Selman Francis",0,,0,0,SOTON/OQ 392086,8.05,S,Selman,Francis,Slocovski, Mr
88,89,1,1,"Fortune, Miss. Mabel Helen",1,23.0,3,2,19950,263.0,S,Mabel,Helen,Fortune, Miss
89,90,0,3,"Celotti, Mr. Francesco",0,24.0,0,0,343275,8.05,S,Francesco,,Celotti, Mr
90,91,0,3,"Christmann, Mr. Emil",0,29.0,0,0,343276,8.05,S,Emil,,Christmann, Mr
91,92,0,3,"Andreasson, Mr. Paul Edvin",0,20.0,0,0,347466,7.8542,S,Paul,Edvin,Andreasson, Mr
92,93,0,1,"Chaffee, Mr. Herbert Fuller",0,46.0,1,0,W.E.P. 5734,61.175,S,Herbert,Fuller,Chaffee, Mr
93,94,0,3,"Dean, Mr. Bertram Frank",0,26.0,1,2,C.A. 2315,20.575,S,Bertram,Frank,Dean, Mr
94,95,0,3,"Coxon, Mr. Daniel",0,59.0,0,0,364500,7.25,S,Daniel,,Coxon, Mr
95,96,0,3,"Shorney, Mr. Charles Joseph",0,,0,0,374910,8.05,S,Charles,Joseph,Shorney, Mr
96,97,0,1,"Goldschmidt, Mr. George B",0,71.0,0,0,PC 17754,34.6542,C,George,B,Goldschmidt, Mr
97,98,1,1,"Greenfield, Mr. William Bertram",0,23.0,0,1,PC 17759,63.3583,C,William,Bertram,Greenfield, Mr
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,34.0,0,1,231919,23.0,S,John,T,Doling, Mrs
99,100,0,2,"Kantor, Mr. Sinai",0,34.0,1,0,244367,26.0,S,Sinai,,Kantor, Mr
100,101,0,3,"Petranec, Miss. Matilda",1,28.0,0,0,349245,7.8958,S,Matilda,,Petranec, Miss
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,,0,0,349215,7.8958,S,Pastcho,"(""Pentcho"")",Petroff, Mr
102,103,0,1,"White, Mr. Richard Frasar",0,21.0,0,1,35281,77.2875,S,Richard,Frasar,White, Mr
103,104,0,3,"Johansson, Mr. Gustaf Joel",0,33.0,0,0,7540,8.6542,S,Gustaf,Joel,Johansson, Mr
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,37.0,2,0,3101276,7.925,S,Anders,Vilhelm,Gustafsson, Mr
105,106,0,3,"Mionoff, Mr. Stoytcho",0,28.0,0,0,349207,7.8958,S,Stoytcho,,Mionoff, Mr
106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,21.0,0,0,343120,7.65,S,Anna,Kristine,Salkjelsvik, Miss
107,108,1,3,"Moss, Mr. Albert Johan",0,,0,0,312991,7.775,S,Albert,Johan,Moss, Mr
108,109,0,3,"Rekic, Mr. Tido",0,38.0,0,0,349249,7.8958,S,Tido,,Rekic, Mr
109,110,1,3,"Moran, Miss. Bertha",1,,1,0,371110,24.15,Q,Bertha,,Moran, Miss
110,111,0,1,"Porter, Mr. Walter Chamberlain",0,47.0,0,0,110465,52.0,S,Walter,Chamberlain,Porter, Mr
111,112,0,3,"Zabour, Miss. Hileni",1,14.5,1,0,2665,14.4542,C,Hileni,,Zabour, Miss
112,113,0,3,"Barton, Mr. David John",0,22.0,0,0,324669,8.05,S,David,John,Barton, Mr
113,114,0,3,"Jussila, Miss. Katriina",1,20.0,1,0,4136,9.825,S,Katriina,,Jussila, Miss
114,115,0,3,"Attalah, Miss. Malake",1,17.0,0,0,2627,14.4583,C,Malake,,Attalah, Miss
115,116,0,3,"Pekoniemi, Mr. Edvard",0,21.0,0,0,STON/O 2. 3101294,7.925,S,Edvard,,Pekoniemi, Mr
116,117,0,3,"Connors, Mr. Patrick",0,70.5,0,0,370369,7.75,Q,Patrick,,Connors, Mr
117,118,0,2,"Turpin, Mr. William John Robert",0,29.0,1,0,11668,21.0,S,William,John,Turpin, Mr
118,119,0,1,"Baxter, Mr. Quigg Edmond",0,24.0,0,1,PC 17558,247.5208,C,Quigg,Edmond,Baxter, Mr
119,120,0,3,"Andersson, Miss. Ellis Anna Maria",1,2.0,4,2,347082,31.275,S,Ellis,Anna,Andersson, Miss
120,121,0,2,"Hickman, Mr. Stanley George",0,21.0,2,0,S.O.C. 14879,73.5,S,Stanley,George,Hickman, Mr
121,122,0,3,"Moore, Mr. Leonard Charles",0,,0,0,A4. 54510,8.05,S,Leonard,Charles,Moore, Mr
122,123,0,2,"Nasser, Mr. Nicholas",0,32.5,1,0,237736,30.0708,C,Nicholas,,Nasser, Mr
123,124,1,2,"Webber, Miss. Susan",1,32.5,0,0,27267,13.0,S,Susan,,Webber, Miss
124,125,0,1,"White, Mr. Percival Wayland",0,54.0,0,1,35281,77.2875,S,Percival,Wayland,White, Mr
125,126,1,3,"Nicola-Yarred, Master. Elias",0,12.0,1,0,2651,11.2417,C,Elias,,Nicola-Yarred, Master
126,127,0,3,"McMahon, Mr. Martin",0,,0,0,370372,7.75,Q,Martin,,McMahon, Mr
127,128,1,3,"Madsen, Mr. Fridtjof Arne",0,24.0,0,0,C 17369,7.1417,S,Fridtjof,Arne,Madsen, Mr
128,129,1,3,"Peter, Miss. Anna",1,,1,1,2668,22.3583,C,Anna,,Peter, Miss
129,130,0,3,"Ekstrom, Mr. Johan",0,45.0,0,0,347061,6.975,S,Johan,,Ekstrom, Mr
130,131,0,3,"Drazenoic, Mr. Jozef",0,33.0,0,0,349241,7.8958,C,Jozef,,Drazenoic, Mr
131,132,0,3,"Coelho, Mr. Domingos Fernandeo",0,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,Domingos,Fernandeo,Coelho, Mr
132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47.0,1,0,A/5. 3337,14.5,S,Alexander,A,Robins, Mrs
133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,29.0,1,0,228414,26.0,S,Leopold,(Mathilde,Weisz, Mrs
134,135,0,2,"Sobey, Mr. Samuel James Hayden",0,25.0,0,0,C.A. 29178,13.0,S,Samuel,James,Sobey, Mr
135,136,0,2,"Richard, Mr. Emile",0,23.0,0,0,SC/PARIS 2133,15.0458,C,Emile,,Richard, Mr
136,137,1,1,"Newsom, Miss. Helen Monypeny",1,19.0,0,2,11752,26.2833,S,Helen,Monypeny,Newsom, Miss
137,138,0,1,"Futrelle, Mr. Jacques Heath",0,37.0,1,0,113803,53.1,S,Jacques,Heath,Futrelle, Mr
138,139,0,3,"Osen, Mr. Olaf Elon",0,16.0,0,0,7534,9.2167,S,Olaf,Elon,Osen, Mr
139,140,0,1,"Giglio, Mr. Victor",0,24.0,0,0,PC 17593,79.2,C,Victor,,Giglio, Mr
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,,0,2,2678,15.2458,C,Joseph,(Sultana),Boulos, Mrs
141,142,1,3,"Nysten, Miss. Anna Sofia",1,22.0,0,0,347081,7.75,S,Anna,Sofia,Nysten, Miss
142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24.0,1,0,STON/O2. 3101279,15.85,S,Pekka,Pietari,Hakkarainen, Mrs
143,144,0,3,"Burke, Mr. Jeremiah",0,19.0,0,0,365222,6.75,Q,Jeremiah,,Burke, Mr
144,145,0,2,"Andrew, Mr. Edgardo Samuel",0,18.0,0,0,231945,11.5,S,Edgardo,Samuel,Andrew, Mr
145,146,0,2,"Nicholls, Mr. Joseph Charles",0,19.0,1,1,C.A. 33112,36.75,S,Joseph,Charles,Nicholls, Mr
146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,27.0,0,0,350043,7.7958,S,August,Edvard,Andersson, Mr
147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,9.0,2,2,W./C. 6608,34.375,S,Robina,Maggie,Ford, Miss
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,36.5,0,2,230080,26.0,S,Michel,"(""Louis",Navratil, Mr
149,150,0,2,"Byles, Rev. Thomas Roussel Davids",0,42.0,0,0,244310,13.0,S,Thomas,Roussel,Byles, Rev
150,151,0,2,"Bateman, Rev. Robert James",0,51.0,0,0,S.O.P. 1166,12.525,S,Robert,James,Bateman, Rev
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,22.0,1,0,113776,66.6,S,Thomas,(Edith,Pears, Mrs
152,153,0,3,"Meo, Mr. Alfonzo",0,55.5,0,0,A.5. 11206,8.05,S,Alfonzo,,Meo, Mr
153,154,0,3,"van Billiard, Mr. Austin Blyler",0,40.5,0,2,A/5. 851,14.5,S,Austin,Blyler,van Billiard, Mr
154,155,0,3,"Olsen, Mr. Ole Martin",0,,0,0,Fa 265302,7.3125,S,Ole,Martin,Olsen, Mr
155,156,0,1,"Williams, Mr. Charles Duane",0,51.0,0,1,PC 17597,61.3792,C,Charles,Duane,Williams, Mr
156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,16.0,0,0,35851,7.7333,Q,Katherine,"""Katie""",Gilnagh, Miss
157,158,0,3,"Corn, Mr. Harry",0,30.0,0,0,SOTON/OQ 392090,8.05,S,Harry,,Corn, Mr
158,159,0,3,"Smiljanic, Mr. Mile",0,,0,0,315037,8.6625,S,Mile,,Smiljanic, Mr
159,160,0,3,"Sage, Master. Thomas Henry",0,,8,2,CA. 2343,69.55,S,Thomas,Henry,Sage, Master
160,161,0,3,"Cribb, Mr. John Hatfield",0,44.0,0,1,371362,16.1,S,John,Hatfield,Cribb, Mr
161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40.0,0,0,C.A. 33595,15.75,S,James,(Elizabeth,Watt, Mrs
162,163,0,3,"Bengtsson, Mr. John Viktor",0,26.0,0,0,347068,7.775,S,John,Viktor,Bengtsson, Mr
163,164,0,3,"Calic, Mr. Jovo",0,17.0,0,0,315093,8.6625,S,Jovo,,Calic, Mr
164,165,0,3,"Panula, Master. Eino Viljami",0,1.0,4,1,3101295,39.6875,S,Eino,Viljami,Panula, Master
165,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,9.0,0,2,363291,20.525,S,Frank,John,Goldsmith, Master
166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,,0,1,113505,55.0,S,(Edith,Martha,Chibnall, Mrs
167,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45.0,1,4,347088,27.9,S,William,(Anna,Skoog, Mrs
168,169,0,1,"Baumann, Mr. John D",0,,0,0,PC 17318,25.925,S,John,D,Baumann, Mr
169,170,0,3,"Ling, Mr. Lee",0,28.0,0,0,1601,56.4958,S,Lee,,Ling, Mr
170,171,0,1,"Van der hoef, Mr. Wyckoff",0,61.0,0,0,111240,33.5,S,Wyckoff,,Van der hoef, Mr
171,172,0,3,"Rice, Master. Arthur",0,4.0,4,1,382652,29.125,Q,Arthur,,Rice, Master
172,173,1,3,"Johnson, Miss. Eleanor Ileen",1,1.0,1,1,347742,11.1333,S,Eleanor,Ileen,Johnson, Miss
173,174,0,3,"Sivola, Mr. Antti Wilhelm",0,21.0,0,0,STON/O 2. 3101280,7.925,S,Antti,Wilhelm,Sivola, Mr
174,175,0,1,"Smith, Mr. James Clinch",0,56.0,0,0,17764,30.6958,C,James,Clinch,Smith, Mr
175,176,0,3,"Klasen, Mr. Klas Albin",0,18.0,1,1,350404,7.8542,S,Klas,Albin,Klasen, Mr
176,177,0,3,"Lefebre, Master. Henry Forbes",0,,3,1,4133,25.4667,S,Henry,Forbes,Lefebre, Master
177,178,0,1,"Isham, Miss. Ann Elizabeth",1,50.0,0,0,PC 17595,28.7125,C,Ann,Elizabeth,Isham, Miss
178,179,0,2,"Hale, Mr. Reginald",0,30.0,0,0,250653,13.0,S,Reginald,,Hale, Mr
179,180,0,3,"Leonard, Mr. Lionel",0,36.0,0,0,LINE,0.0,S,Lionel,,Leonard, Mr
180,181,0,3,"Sage, Miss. Constance Gladys",1,,8,2,CA. 2343,69.55,S,Constance,Gladys,Sage, Miss
181,182,0,2,"Pernot, Mr. Rene",0,,0,0,SC/PARIS 2131,15.05,C,Rene,,Pernot, Mr
182,183,0,3,"Asplund, Master. Clarence Gustaf Hugo",0,9.0,4,2,347077,31.3875,S,Clarence,Gustaf,Asplund, Master
183,184,1,2,"Becker, Master. Richard F",0,1.0,2,1,230136,39.0,S,Richard,F,Becker, Master
184,185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",1,4.0,0,2,315153,22.025,S,Luise,Gretchen,Kink-Heilmann, Miss
185,186,0,1,"Rood, Mr. Hugh Roscoe",0,,0,0,113767,50.0,S,Hugh,Roscoe,Rood, Mr
186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,,1,0,370365,15.5,Q,Thomas,(Johanna,O'Brien, Mrs
187,188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,45.0,0,0,111428,26.55,S,Charles,Hallace,Romaine, Mr
188,189,0,3,"Bourke, Mr. John",0,40.0,1,1,364849,15.5,Q,John,,Bourke, Mr
189,190,0,3,"Turcin, Mr. Stjepan",0,36.0,0,0,349247,7.8958,S,Stjepan,,Turcin, Mr
190,191,1,2,"Pinsky, Mrs. (Rosa)",1,32.0,0,0,234604,13.0,S,(Rosa),,Pinsky, Mrs
191,192,0,2,"Carbines, Mr. William",0,19.0,0,0,28424,13.0,S,William,,Carbines, Mr
192,193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,19.0,1,0,350046,7.8542,S,Carla,Christine,Andersen-Jensen, Miss
193,194,1,2,"Navratil, Master. Michel M",0,3.0,1,1,230080,26.0,S,Michel,M,Navratil, Master
194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,44.0,0,0,PC 17610,27.7208,C,James,Joseph,Brown, Mrs
195,196,1,1,"Lurette, Miss. Elise",1,58.0,0,0,PC 17569,146.5208,C,Elise,,Lurette, Miss
196,197,0,3,"Mernagh, Mr. Robert",0,,0,0,368703,7.75,Q,Robert,,Mernagh, Mr
197,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",0,42.0,0,1,4579,8.4042,S,Karl,Siegwart,Olsen, Mr
198,199,1,3,"Madigan, Miss. Margaret ""Maggie""",1,,0,0,370370,7.75,Q,Margaret,"""Maggie""",Madigan, Miss
199,200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,24.0,0,0,248747,13.0,S,Henriette,"(""Mrs",Yrois, Miss
200,201,0,3,"Vande Walle, Mr. Nestor Cyriel",0,28.0,0,0,345770,9.5,S,Nestor,Cyriel,Vande Walle, Mr
201,202,0,3,"Sage, Mr. Frederick",0,,8,2,CA. 2343,69.55,S,Frederick,,Sage, Mr
202,203,0,3,"Johanson, Mr. Jakob Alfred",0,34.0,0,0,3101264,6.4958,S,Jakob,Alfred,Johanson, Mr
203,204,0,3,"Youseff, Mr. Gerious",0,45.5,0,0,2628,7.225,C,Gerious,,Youseff, Mr
204,205,1,3,"Cohen, Mr. Gurshon ""Gus""",0,18.0,0,0,A/5 3540,8.05,S,Gurshon,"""Gus""",Cohen, Mr
205,206,0,3,"Strom, Miss. Telma Matilda",1,2.0,0,1,347054,10.4625,S,Telma,Matilda,Strom, Miss
206,207,0,3,"Backstrom, Mr. Karl Alfred",0,32.0,1,0,3101278,15.85,S,Karl,Alfred,Backstrom, Mr
207,208,1,3,"Albimona, Mr. Nassef Cassem",0,26.0,0,0,2699,18.7875,C,Nassef,Cassem,Albimona, Mr
208,209,1,3,"Carr, Miss. Helen ""Ellen""",1,16.0,0,0,367231,7.75,Q,Helen,"""Ellen""",Carr, Miss
209,210,1,1,"Blank, Mr. Henry",0,40.0,0,0,112277,31.0,C,Henry,,Blank, Mr
210,211,0,3,"Ali, Mr. Ahmed",0,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,Ahmed,,Ali, Mr
211,212,1,2,"Cameron, Miss. Clear Annie",1,35.0,0,0,F.C.C. 13528,21.0,S,Clear,Annie,Cameron, Miss
212,213,0,3,"Perkin, Mr. John Henry",0,22.0,0,0,A/5 21174,7.25,S,John,Henry,Perkin, Mr
213,214,0,2,"Givard, Mr. Hans Kristensen",0,30.0,0,0,250646,13.0,S,Hans,Kristensen,Givard, Mr
214,215,0,3,"Kiernan, Mr. Philip",0,,1,0,367229,7.75,Q,Philip,,Kiernan, Mr
